id,name,document,date_of_birth,phone_number,account_number,balance
1,Sophie Peixoto,047.326.589-38,14/03/1982,+55 (21) 9 9489 2411,2277815659387784,94513
2,Benício Vieira,016.579.384-84,10/01/1993,+55 39 9 3328 7115,2671484185839891,28005
3,Leonardo Carvalho,965.412.708-30,23/07/1959,+55 (71) 9 1220 1868,2258339694775153,81641
4,Ana Sophia Rodrigues,953.102.847-88,31/10/1975,+55 (056) 90123 0989,5301399161510905,49978
5,Diego Costa,730.594.826-83,05/02/1998,+55 31 9 4562 0870,2720163457923028,65272
6,Joaquim Souza,417.580.326-26,06/03/2001,+55 (45) 96428-0715,5284237594599247,85888
7,Sofia Peixoto,103.529.487-79,24/02/1976,+55 (60) 9 6960-2714,2228878900754707,42132
8,Caroline Vieira,120.356.874-62,29/08/1958,+55 89 91319 3442,5476104714285123,17775
9,Anthony Barbosa,034.725.961-80,02/03/1992,+55 (065) 98236-9402,5545551590042290,77555
10,João Guilherme Novaes,824.031.675-17,10/02/1999,+55 46 9 5461 1877,2275171760452295,94737
11,Maysa Carvalho,193.580.742-05,16/11/1976,+55 (47) 97936-1534,2712635110873179,63879
12,Eloah da Rocha,032.918.456-33,01/01/1963,+55 (72) 9 9668-7577,2238930555082492,82390
13,João Miguel Gonçalves,718.405.962-01,24/05/1972,+55 (052) 92758-6880,2711891634896763,20796
14,Maria Sophia Dias,092.745.618-49,30/08/1981,+55 (46) 9 6602 2345,5207627912560976,28675
15,Laís Barros,172.064.983-96,10/01/1963,+55 (53) 96710-9795,5494264183067531,91439
16,Isabella Cardoso,097.284.156-30,28/03/1995,+55 (86) 98412-6961,5461162076607547,95957
17,João Gabriel Cardoso,150.269.734-34,11/05/1961,+55 (030) 93104 5093,5527175420355748,86841
18,Marcos Vinicius Martins,218.469.730-31,14/05/2003,+55 (58) 93324 5602,2720061126486296,65076
19,Fernanda Moraes,137.524.096-06,18/05/1958,+55 73 95471-2141,2709276266237581,17118
20,João Gabriel Rezende,173.208.456-44,21/04/1972,+55 (89) 9 2671 7386,2250140046896715,63718
21,Sra. Isabella Gomes,310.725.469-06,22/09/2000,+55 (016) 94482 9838,5468644759221160,66870
22,Maria Sophia Rezende,284.953.701-23,09/06/1981,+55 (57) 90742-7093,5157608116050196,77124
23,Gabriel Gonçalves,324.109.786-22,30/05/1976,+55 66 92728-5232,2456676337390605,23860
24,Pedro Miguel Cardoso,250.861.493-98,17/05/1987,+55 (45) 96708-8697,2547354000250404,26892
25,Bernardo Pereira,369.712.048-40,15/02/1996,+55 87 95408-0351,2238533444864755,25994
26,Srta. Amanda Lima,810.365.792-12,29/01/1980,+55 11 9 3126 3791,2386023732455615,23969
27,Esther Viana,347.869.210-50,08/10/1958,+55 (12) 9 6334-0886,5216419538433187,35194
28,Renan Martins,357.241.809-79,04/08/1975,+55 26 92281 2379,2233236599271900,30458
29,Maria Vitória Moraes,794.018.523-32,25/10/1996,+55 (085) 91429-6354,2290305357345246,34818
30,João Gabriel Viana,025.936.478-92,28/07/1958,+55 10 95623-7625,2262566064887093,44732
31,Juan Nogueira,209.456.183-60,14/05/1969,+55 (030) 92821 6919,2429904560071542,90678
32,Brenda Ramos,385.179.264-55,22/04/2003,+55 48 94870 8984,5276165700404947,52598
33,Sophie da Rocha,895.321.074-79,08/08/1996,+55 (98) 95225 0909,5555445769620290,40468
34,Leonardo Costela,507.962.183-40,09/05/1971,+55 (082) 91291 8896,2344406448885533,20271
35,Sra. Vitória da Conceição,082.654.317-08,20/07/2003,+55 (69) 93058-2357,5139342619737819,59046
36,Davi Luiz Pires,168.273.549-46,28/04/1962,+55 70 94366 6609,2459294506782011,88350
37,Isabel Moreira,013.594.768-57,11/07/2002,+55 56 92462 9264,2602227080862599,69607
38,Bruno da Luz,439.256.781-82,26/11/2005,+55 (078) 92092 8051,2237937825278082,33969
39,Luiz Henrique Mendes,018.342.675-44,27/07/1982,+55 25 9 0220 5930,2304609251607591,45546
40,Sophia Fernandes,476.103.258-80,18/01/1961,+55 10 9 5026 9057,2707710864081159,83666
41,Sr. Lucas Azevedo,284.063.957-29,05/09/1965,+55 (039) 95076 0334,2272353267592699,30864
42,Davi Lucca Almeida,628.097.534-74,11/04/1995,+55 99 9 2260 6695,2242583861269511,84941
43,Larissa Farias,763.918.420-78,30/01/1998,+55 (85) 9 8099 7340,2720561802606661,9502
44,Theo Ramos,972.183.406-87,17/07/1994,+55 55 9 2578 0342,2715460486064635,49572
45,Sr. Cauê Correia,952.034.816-60,13/10/1988,+55 68 9 8222 3230,2627594516425858,84068
46,Olivia da Conceição,684.132.597-46,10/04/2004,+55 12 9 2099-8139,2720814926100156,16630
47,Sra. Gabrielly Cavalcanti,754.831.920-79,10/06/1995,+55 (20) 92869-3764,5192627906196537,11835
48,Laís Barbosa,714.693.582-55,30/08/1966,+55 (52) 94927-1176,2716814731425125,86673
49,Ana Carolina Cunha,983.067.425-83,03/09/2002,+55 (55) 91033-7443,5175851149635629,96027
50,Gustavo Henrique da Paz,754.391.082-97,26/12/1981,+55 (035) 95645-6417,2261725325731661,92145
51,Maitê Rezende,936.428.170-50,21/05/1962,+55 63 96090-6143,2272125030068029,50099
52,Otávio da Paz,173.604.852-07,03/06/2002,+55 (66) 97063 6094,5195557298141147,84910
53,Ryan da Conceição,926.148.730-04,31/10/1984,+55 (018) 97727-8526,2256198537357609,86976
54,Rebeca Almeida,867.139.245-73,27/09/1964,+55 (045) 97928-1348,5402505927636739,44832
55,João Vitor Barros,583.921.704-23,12/02/2001,+55 (39) 9 7037-9583,5100237931864579,95455
56,Caroline da Cruz,589.736.421-46,01/08/1998,+55 (012) 93126-7835,5206316996830288,6403
57,Luiza Lima,681.043.957-93,04/08/1987,+55 41 90390-9852,2441974366853942,11814
58,Augusto da Costa,571.439.280-97,28/07/1963,+55 (22) 9 0163-0446,5454593880588029,80316
59,Alexia Ferreira,529.047.361-07,11/05/1985,+55 (19) 92708-3518,2232363975245836,7859
60,Lucas Gabriel Lopes,240.759.831-88,29/08/1959,+55 (04) 9 1243-8857,5368861197524366,7972
61,Pietra Gomes,098.527.613-40,19/04/1960,+55 (82) 94906 6493,2255877165280370,13315
62,Alice Duarte,149.675.308-93,13/03/1983,+55 83 9 7446 6702,2653323422848020,14819
63,Thiago Peixoto,239.641.578-64,22/04/1996,+55 73 90626 8636,2708712180103674,58997
64,Emilly Oliveira,564.901.728-01,27/02/1999,+55 81 97372 9840,2720255548420731,69147
65,Julia Mendes,749.132.865-28,22/12/1976,+55 84 9 9336-3482,2629888754647803,28228
66,Srta. Eloah Ramos,103.482.576-35,24/08/1987,+55 94 90009-2436,2555196102098457,81097
67,Srta. Joana da Paz,528.391.670-77,16/06/2001,+55 69 90281 6459,2230525477954170,93446
