0,1,2,3,4,5,6
1,Sophie Peixoto,047.326.589-38,1976-08-24,+55 (042) 91948 9241,3557815659387783,56802
2,Benício Vieira,016.579.384-84,2007-05-08,+55 13 99332-8711,371484185839898,36001
3,Leonardo Carvalho,965.412.708-30,1912-06-12,+55 (47) 9 1122-0186,3583396947751591,33182
4,Luigi Melo,390.527.184-23,1953-03-20,+55 01 9 2309-8910,2239916151090327,96468
5,Srta. Luana da Rocha,096.482.537-65,1996-01-02,+55 (56) 9 2087 0916,4579230225848,77266
6,Noah Pires,207.534.961-43,1960-11-07,+55 (28) 9 0715 0842,4594599246616,68755
7,Noah da Mota,523.197.486-28,1912-04-02,+55 96 9 0271-4278,30007547063817,65667
8,Srta. Alana Nunes,650.178.432-80,1990-10-03,+55 (44) 92176 1047,2252851240003480,72403
9,Dr. Miguel Barbosa,978.532.106-12,1987-11-13,+55 (02) 9 2455 5159,501842294560,69667
10,Ana Gonçalves,173.029.645-99,2021-09-04,+55 46 91187-7551,30176045229616,97765
11,Bruno da Paz,306.879.214-22,2015-03-31,+55 (36) 9 1534-9263,341087317643034,71578
12,Bianca Cavalcanti,376.241.085-26,1928-02-27,+55 (66) 9 8757-7389,4555082492694,7210
13,Theo Ribeiro,190.785.643-93,2011-03-31,+55 (052) 92758-6880,3589163489676998,34981
14,Anthony Almeida,248.903.617-31,1960-03-29,+55 02 9 2345-0076,4912560976701724,51700
15,Arthur Costela,519.837.046-01,1991-07-27,+55 19 94264-1830,6553751007408996,81262
16,Enzo Carvalho,896.420.135-33,1919-05-25,+55 61 9 1620 7660,30541511505528,61614
17,Enzo Moreira,123.096.458-42,2001-10-17,+55 93 92271 7542,565574485290,28014
18,Calebe Teixeira,942.315.860-98,1940-03-02,+55 (045) 96029 0611,4486296451375801,83172
19,Júlia Alves,657.128.304-26,2016-05-13,+55 41 9 8927 6266,4758257173407976,14548
20,Enrico Jesus,142.356.079-52,2011-05-29,+55 (86) 94014 0046,180071454391015,62223
21,Henrique Teixeira,513.680.792-02,1978-09-16,+55 (098) 93816 8644,30592211669726,43331
22,Natália Jesus,576.139.280-12,1968-05-20,+55 (27) 9 0930 5760,213116050190443,34553
23,Srta. Bianca Gomes,316.952.708-86,1965-05-09,+55 27 9 2852-3275,6576337390603121,99632
24,Sr. Vinicius da Luz,341.582.679-19,1915-04-20,+55 (86) 99774-7354,501802504024,43605
25,Yuri Pereira,369.712.048-40,2016-02-17,+55 58 97540-8035,2238533444864755,25190
26,Srta. Amanda Lima,810.365.792-12,1970-08-20,+55 (011) 91312-6379,2386023732455615,13105
27,Esther Viana,347.869.210-50,1910-03-19,+55 91 9 2633 4088,6011164195384332,76329
28,Luiz Henrique Lima,539.782.104-79,1983-03-28,+55 (55) 99026-2281,4793323659927197,6451
29,Luiz Miguel Moraes,794.018.523-32,2018-02-04,+55 (085) 91429-6354,6011305357345245,99613
30,João Gabriel Viana,025.936.478-92,1909-08-26,+55 (51) 90562 3762,372566064887094,77006
31,Juan Nogueira,209.456.183-60,1940-04-07,+55 (030) 92821 6919,4299045600715426,46096
32,Eduarda Santos,526.873.401-62,1980-02-20,+55 (87) 9 0898 4076,3565700404943884,92193
33,Dr. Fernando da Rocha,153.486.207-26,1952-12-17,+55 90 99255 4457,6520290725074939,14754
34,Marcos Vinicius Pereira,428.051.679-02,2010-09-06,+55 44 9 4064-4888,373620829657083,25312
35,Maysa Dias,052.817.394-41,1985-09-30,+55 (42) 96197 3781,4716644659515,15834
36,Antônio Sales,043.675.821-08,2002-10-31,+55 97 95929 4506,30201955013188,48008
37,Amanda Lopes,056.182.349-98,1989-01-10,+55 (064) 98022 2708,676162591181,81410
38,Francisco da Paz,459.627.301-43,1983-03-09,+55 (009) 92805 1379,4825278081852,2125
39,Yago Cardoso,165.432.789-19,2022-06-17,+55 25 9 0220 5930,6011460925160756,17886
40,Mariane Fernandes,476.103.258-80,1916-09-06,+55 11 90502-6905,38710864081153,91766
41,Sr. Lucas Azevedo,284.063.957-29,1929-10-23,+55 (023) 99507 6033,4523532675926903,39502
42,Nathan Almeida,628.097.534-74,2013-09-21,+55 99 9 2260 6695,3525838612695166,35538
43,Elisa Ribeiro,639.158.420-60,2021-09-06,+55 (48) 9 5809 9734,676256180263,2295
44,Vitor Peixoto,691.534.802-60,1954-04-20,+55 (062) 99481-5525,30034295460482,95427
45,Alícia Oliveira,463.215.089-42,1930-07-08,+55 69 96711 6882,4323082759451644,64355
46,Joaquim Santos,582.394.701-14,1955-02-13,+55 78 9 4661-2209,3539981492610014,39311
47,Dr. Ian Cavalcanti,754.831.920-79,2014-03-09,+55 (20) 92869-3764,676226279062,48527
48,Pedro Nunes,537.084.612-07,1982-12-03,+55 74 9 2385-2492,30117696814736,42524
49,Gustavo da Conceição,512.908.467-58,1962-12-28,+55 (97) 91785-5103,4443075851145,36295
50,Lara das Neves,562.178.394-82,1946-06-17,+55 92 9 1658-7355,6556417417253250,33988
51,Daniela Correia,697.438.125-55,1976-04-23,+55 (73) 9 5801 7563,6011906143521252,59852
52,Enzo Barbosa,069.174.853-57,1934-11-12,+55 89 96182 3366,30063609409554,26861
53,Dr. Pedro Cunha,981.205.643-24,1992-06-14,+55 (063) 99536 8818,2518772785264610,56897
54,Lívia Melo,379.285.014-14,1983-02-24,+55 73 9 6347-7237,4792813481025059277,38236
55,Nicole da Mota,673.180.254-90,2006-06-26,+55 28 98996-2979,4037958300020,4944
56,Leonardo das Neves,186.572.490-49,1930-03-04,+55 85 97675-7123,5567835006316999,71204
57,Maria Cecília da Rocha,027.834.951-04,2010-05-06,+55 36 99541 0390,3527419743668535,3134
58,Emanuella Carvalho,025.746.391-70,1967-02-14,+55 60 91692-2016,4446154593884,87327
59,Joaquim Silva,802.397.451-32,1921-06-23,+55 (86) 9 1491-8192,30083518323639,4470
60,Pietra Pires,524.987.103-88,2020-09-05,+55 24 98015-4501,3541243885716882,94867
61,Ana Vitória Cardoso,975.126.384-00,1912-03-23,+55 04 91558 4038,4906649345877162,69062
62,Sr. Luiz Henrique Barros,376.018.249-69,1925-06-21,+55 (005) 98618-3744,6570285332342280,29842
63,Marcelo Araújo,236.517.490-61,2009-05-08,+55 (84) 90730 6268,6011688712180104,93990
64,Srta. Sofia Novaes,746.253.980-29,2011-09-03,+55 (093) 93008 1737,3598409255548427,42913
65,Lucca da Paz,965.328.147-09,2018-01-09,+55 59 96696-8493,4348282988871,61218
66,Dr. Leandro Jesus,780.651.249-76,1910-06-12,+55 (91) 94032 9259,4009243675519610201,13048
67,Maria Alice Fogaça,536.127.480-17,1991-03-20,+55 (86) 9 9300-6902,213164593052548,71014
68,Luana Melo,417.680.235-90,1990-09-16,+55 (062) 99621-9127,4644158810090216675,60357
69,Ian Cunha,163.097.845-01,1925-12-27,+55 (46) 96807-8282,4921974443600816,47807
70,Pedro Miguel Gomes,298.076.541-49,1986-09-03,+55 15 9 3475 7788,5357668786813263,50772
71,Gabrielly da Conceição,128.034.675-26,1979-04-29,+55 (94) 9 5769 5978,348065580391716,20488
72,Dr. Vitor Farias,801.942.673-69,1954-05-10,+55 (77) 9 6037 5207,213164973079921,29165
73,Laura Lopes,956.481.370-01,1958-02-16,+55 43 9 3438-9573,3592532482891777,86077
74,Ryan da Mata,953.804.761-39,1960-12-29,+55 (83) 9 5650 0339,4148476560105246,39211
75,Rebeca Pires,486.732.190-78,2006-10-17,+55 18 9 0985 9193,501814196298,27811
76,Marcela da Paz,492.186.507-85,1943-01-21,+55 (042) 99431-2623,3558724194930231,92290
77,Dra. Nicole Almeida,628.340.759-56,1970-02-07,+55 73 94315-7458,3534861261918274,96808
78,Kevin Ferreira,832.507.914-23,1977-08-16,+55 56 96828 9204,3589637361186184,56612
79,Letícia da Cunha,038.194.765-39,2020-09-22,+55 (38) 93371-3182,3589896964790558,82328
80,Samuel Azevedo,379.451.082-88,1969-09-17,+55 (019) 94465-4191,30599132630745,26775
81,Luiz Henrique Moura,215.970.643-43,1948-02-19,+55 (66) 96027-1428,4529296431228,72222
82,Maria Alice Pereira,204.637.891-13,1996-01-25,+55 17 9 3800 9174,3586231982730324,90992
83,Dra. Nicole da Conceição,291.086.537-12,1986-07-07,+55 (96) 9 0127 0554,4604331923837505,18335
84,Kaique Silveira,825.746.301-90,1920-11-17,+55 (043) 94415-2706,4048967998320416,70200
85,Rafaela Fernandes,378.249.165-37,1944-06-13,+55 (003) 95410 6459,3556213577256663,77864
86,Sr. Bryan Porto,210.643.578-90,1994-08-30,+55 60 9 4924 4818,4020155733597488,87504
